be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
76,63,1,18.1258,-9.23423,-0.967731,-0.251986,0.171628,0.496938,-43.4696,0.0825362,0.0214915
76,63,2,18.1635,-9.37897,-0.967731,-0.251986,0.107267,0.499404,-42.9763,0.0518412,0.0134989
77,26,0,17.9892,-8.71624,-0.966478,-0.256751,0.107264,0.490878,-44.6815,0.0508885,0.0135189
77,26,1,18.0276,-8.86078,-0.966478,-0.256751,0.171622,0.493042,-44.2488,0.0817804,0.0217255
77,26,2,18.066,-9.00532,-0.966478,-0.256751,0.107264,0.495201,-43.8169,0.0513366,0.0136379
78,104,0,18.2038,7.07257,0.878682,0.477408,0.113579,0.557861,-31.285,-0.0556746,-0.0302493
78,104,1,18.1282,7.21172,0.878682,0.477408,0.181727,0.559186,-31.0199,-0.089291,-0.0485138
78,104,2,18.0526,7.35087,0.878682,0.477408,0.113579,0.560511,-30.755,-0.055939,-0.0303929
79,97,0,18.0085,7.43177,0.876928,0.480621,0.11358,0.560236,-30.8099,-0.0558004,-0.0305827
79,97,1,17.9323,7.57064,0.876928,0.480621,0.181728,0.561931,-30.471,-0.0895508,-0.0490804
79,97,2,17.8562,7.70951,0.876928,0.480621,0.11358,0.563623,-30.1326,-0.0561377,-0.0307676
80,17,0,1.96561,4.11433,0.781354,-0.624088,0.169185,0.629316,-16.994,-0.0831914,0.0664471
80,17,1,2.11283,4.29864,0.781354,-0.624088,0.270696,0.631178,-16.6216,-0.1335,0.10663
80,17,2,2.26005,4.48296,0.781354,-0.624088,0.169185,0.633034,-16.2504,-0.0836828,0.0668396
81,62,0,2.3484,4.58798,0.748573,-0.663052,0.169202,0.625505,-17.7562,-0.0792267,0.0701754
81,62,1,2.50483,4.76458,0.748573,-0.663052,0.270724,0.627587,-17.3397,-0.127185,0.112654
81,62,2,2.66125,4.94118,0.748573,-0.663052,0.169202,0.629665,-16.9241,-0.0797536,0.0706421
82,83,0,3.54587,5.80278,0.64323,-0.765673,0.139242,0.614518,-19.9536,-0.055039,0.065516
82,83,1,3.69452,5.92766,0.64323,-0.765673,0.222787,0.616249,-19.6073,-0.0883104,0.105121
82,83,2,3.84317,6.05253,0.64323,-0.765673,0.139242,0.617971,-19.263,-0.0553482,0.0658842
83,84,0,3.93144,6.12304,0.604581,-0.796544,0.139289,0.60934,-20.9892,-0.0513133,0.067606
83,84,1,4.08613,6.24045,0.604581,-0.796544,0.222862,0.611488,-20.5595,-0.0823907,0.108551
83,84,2,4.24083,6.35787,0.604581,-0.796544,0.139289,0.613621,-20.133,-0.0516738,0.068081
84,75,0,11.4469,6.1267,-0.70934,-0.704866,0.15919,0.468847,-49.0878,0.0529423,0.0526083
84,75,1,11.6033,5.96926,-0.70934,-0.704866,0.254705,0.478135,-47.2301,0.0863858,0.0858409
84,75,2,11.7598,5.81181,-0.70934,-0.704866,0.15919,0.487354,-45.3864,0.0550321,0.054685
85,35,0,11.8478,5.71747,-0.752153,-0.658988,0.159038,0.465937,-49.6698,0.0557357,0.048832
85,35,1,11.9939,5.55068,-0.752153,-0.658988,0.25446,0.474302,-47.9968,0.0907781,0.079534
85,35,2,12.1401,5.3839,-0.752153,-0.658988,0.159038,0.482591,-46.3389,0.0577279,0.0505775
86,54,0,12.9801,4.24718,-0.846044,-0.533113,0.232178,0.46097,-50.6631,0.0905496,0.0570575
86,54,1,13.1527,3.9733,-0.846044,-0.533113,0.371484,0.471218,-48.6135,0.1481,0.0933215
86,54,2,13.3252,3.69942,-0.846044,-0.533113,0.232178,0.481435,-46.5701,0.0945696,0.0595906
87,55,0,13.4178,3.54537,-0.869207,-0.494448,0.210815,0.454629,-51.9314,0.0833069,0.0473891
87,55,1,13.5631,3.28989,-0.869207,-0.494448,0.337303,0.466636,-49.5299,0.136811,0.0778251
87,55,2,13.7084,3.0344,-0.869207,-0.494448,0.210815,0.478579,-47.1414,0.0876955,0.0498855
88,82,0,14.7601,0.888449,-0.917699,-0.397277,0.137975,0.457688,-51.3195,0.0579524,0.0250879
88,82,1,14.8365,0.711906,-0.917699,-0.397277,0.220761,0.460517,-50.7537,0.093297,0.0403888
88,82,2,14.913,0.535363,-0.917699,-0.397277,0.137975,0.463342,-50.1888,0.0586683,0.0253978
89,79,0,14.9568,0.432343,-0.922842,-0.385179,0.137939,0.45716,-51.4251,0.0581949,0.0242895
89,79,1,15.0308,0.254856,-0.922842,-0.385179,0.220703,0.459668,-50.9236,0.0936224,0.0390764
89,79,2,15.1049,0.0773705,-0.922842,-0.385179,0.137939,0.462171,-50.423,0.0588327,0.0245558
90,92,0,16.3174,-3.18266,-0.948331,-0.317284,0.172513,0.460464,-50.7643,0.0753316,0.0252038
90,92,1,16.3938,-3.41077,-0.948331,-0.317284,0.276021,0.463775,-50.1021,0.121397,0.040616
90,92,2,16.4701,-3.63887,-0.948331,-0.317284,0.172513,0.467081,-49.441,0.0764141,0.0255659
91,96,0,16.5139,-3.77179,-0.950906,-0.309481,0.172494,0.462715,-50.314,0.075897,0.0247014
91,96,1,16.5884,-4.00049,-0.950906,-0.309481,0.27599,0.465964,-49.6643,0.122288,0.0397997
91,96,2,16.6628,-4.22919,-0.950906,-0.309481,0.172494,0.469207,-49.0158,0.0769617,0.0250479
92,70,0,2.3004,17.3838,-0.548572,0.836103,0.125994,0.69505,-3.84714,0.0480394,-0.0732191
92,70,1,2.15352,17.2874,-0.548572,0.836103,0.20159,0.692163,-4.42459,0.0765438,-0.116664
92,70,2,2.00665,17.1911,-0.548572,0.836103,0.125994,0.689221,-5.01299,0.0476366,-0.0726051
93,50,0,2.69005,17.6173,-0.509547,0.860443,0.126217,0.69702,-3.4532,0.0448276,-0.0756978
93,50,1,2.53863,17.5276,-0.509547,0.860443,0.201947,0.696566,-3.54395,0.0716775,-0.121038
93,50,2,2.38721,17.4379,-0.509547,0.860443,0.126217,0.696097,-3.6377,0.0447683,-0.0755976
94,10,0,11.7585,17.2271,0.666051,0.745906,0.150284,0.701854,-2.48638,-0.0702534,-0.0786763
